preperation_level,study_hours,sleep_hours,revision_frequency,exam_stress_level,performance_scores
3,11,23,2,2,83.38276726812046
3,16,13,7,2,100.0
1,1,15,2,1,53.877175031393996
2,1,20,1,1,50.91721195124702
1,8,10,5,4,78.61388042829746
2,11,16,5,4,100.0
3,18,15,3,5,100.0
1,7,2,1,1,41.336777142429426
1,15,4,5,2,79.19771037569451
1,22,19,3,2,95.08500750043787
2,9,2,1,1,47.794700965160786
1,9,10,6,4,84.05770106923356
2,3,22,4,3,54.21690696160082
3,7,12,2,5,70.66900534188922
3,20,10,2,1,93.5752641112711
1,8,23,2,5,57.31642658261429
3,15,19,7,4,100.0
2,14,17,5,3,100.0
2,20,17,4,1,100.0
3,1,21,6,4,76.3967863523653
2,7,9,5,2,71.97374058963184
1,1,10,6,2,58.64469069740726
3,14,1,7,5,84.62957144581364
1,17,13,6,2,100.0
2,17,1,1,2,69.23618790589649
3,7,18,2,5,80.12412168619167
3,24,4,1,1,55.513702058256
2,21,19,6,5,100.0
2,18,1,6,5,78.42977679270545
2,7,21,6,3,84.81555113102664
1,3,14,3,1,58.10193210006249
2,11,14,4,3,97.69246279927728
3,6,11,5,2,80.61640893295282
3,9,22,4,5,90.44650368644668
1,5,8,3,4,58.57428528551223
2,16,10,7,2,100.0
2,7,17,4,5,85.3586600501315
2,5,8,4,3,60.737166002651286
1,6,9,4,4,63.10330357545848
1,23,23,7,5,78.92802063857378
3,17,18,7,1,100.0
1,3,12,5,2,63.29953132843143
3,7,14,2,4,81.58436036017429
2,3,1,4,3,38.12628853943122
1,22,14,1,5,85.18217379711493
2,13,4,3,2,75.98681067501522
1,24,19,6,5,86.90420990409254
2,1,10,2,4,48.46613582698222
1,13,18,2,4,92.53254014730086
2,14,9,6,2,98.79265481284682
3,17,22,6,3,100.0
3,3,2,2,3,37.59723424509672
2,2,1,3,1,33.92788661070953
3,18,9,1,4,98.28869682384654
2,4,24,2,4,37.65335636369268
2,6,11,7,2,87.91735171391778
1,16,8,5,4,93.91002751973852
1,3,24,6,3,53.56950226915429
2,21,23,2,4,82.69844190882318
1,24,2,1,1,42.041212131922926
3,14,17,3,1,100.0
3,16,13,2,4,100.0
1,11,24,3,1,62.391129558489034
1,20,15,1,3,92.95701788798154
2,13,6,5,4,90.78281540457145
1,4,3,7,1,41.97614382861519
3,21,11,3,4,97.60941448385434
3,22,4,3,2,81.21601560474676
3,11,22,7,4,100.0
1,8,17,1,5,70.2354534031857
2,1,17,4,2,70.38039088782982
3,19,23,3,2,94.01166043273057
1,6,16,7,1,82.53675251660424
2,17,24,6,5,96.16227670617332
3,12,13,2,3,100.0
1,4,10,1,1,50.22121810939482
2,24,24,5,2,72.7530860433231
1,2,6,6,3,53.09108307315636
1,19,9,7,3,99.93553049949183
2,12,9,1,2,79.60495999868196
2,10,8,6,1,89.09460736676562
1,2,11,4,1,59.00714227439965
1,6,16,1,2,66.9036090056563
1,1,23,6,1,50.435165587241215
3,13,5,7,1,88.89100899140186
1,3,20,2,1,58.06793514595794
3,21,8,3,1,93.61525013065813
1,3,15,3,2,61.48897472273741
2,21,17,7,5,100.0
3,17,18,3,5,100.0
1,23,13,6,3,97.14684931505323
3,5,9,4,1,70.49276653063129
2,9,1,6,3,67.40747245453413
3,1,10,5,5,58.616440280766845
3,6,14,3,1,75.758880017337
1,22,17,2,5,93.53656629776887
2,12,6,6,3,89.95911479403188
1,24,12,5,5,83.24320495976589
3,2,18,2,1,72.8234904748138
3,3,5,4,1,53.68346662220438
3,8,20,6,4,100.0
3,15,6,1,2,87.40065388028444
1,24,20,3,3,77.17632854280455
2,2,9,7,3,64.35410593914757
1,19,22,5,1,95.76863240664282
3,20,21,3,1,100.0
3,22,23,3,1,87.59579407657363
1,18,8,6,1,100.0
2,15,13,4,5,100.0
3,1,23,6,1,65.5079804575936
1,22,21,4,1,94.37220934248543
3,11,6,4,2,82.4182962296678
3,6,19,7,1,94.77527245207091
1,5,19,5,5,73.90711309070397
3,5,8,6,4,79.64340749297295
3,21,10,6,4,100.0
3,24,21,5,2,92.53057408481835
1,19,1,5,1,72.42117694989294
3,19,11,6,1,100.0
3,19,22,5,4,100.0
1,9,3,2,5,49.93777248360803
2,5,18,4,4,76.35120471356895
1,19,2,2,2,65.09814636476595
3,6,24,5,3,63.660980233909584
1,16,9,5,3,98.78264163803357
3,7,14,5,5,86.3347726402425
2,9,9,3,3,71.95315889099244
2,6,22,4,5,66.2414696186947
2,21,11,4,5,100.0
1,8,18,6,2,90.90727938129972
3,9,11,6,1,97.54885492889997
3,11,3,4,1,69.84353803479831
2,10,20,3,4,91.83646867542447
3,7,15,7,4,100.0
2,23,24,4,2,75.61566919044502
1,16,23,3,1,83.30999082933079
3,14,14,4,3,100.0
2,15,11,4,5,100.0
1,20,9,2,2,84.76758743898068
3,12,9,4,1,89.99402084977962
2,10,24,3,1,66.69854795111067
1,24,23,3,4,59.31737961875019
3,1,19,5,2,76.97887193223242
2,4,21,7,1,76.70788907300687
1,18,7,5,2,92.75342327919054
1,18,1,7,2,84.9828871319759
1,9,24,1,5,52.75121015449803
1,24,22,5,2,75.34507869740526
1,20,9,7,2,100.0
3,22,9,3,1,90.28127253117427
3,18,21,7,4,100.0
2,5,18,2,5,70.40737571656126
2,2,4,3,1,41.38177213308136
3,17,16,3,4,100.0
1,4,8,5,4,54.76899451674283
3,4,24,7,1,63.54790400435149
1,21,21,6,2,100.0
2,17,17,1,4,100.0
1,17,19,6,2,100.0
2,5,1,2,4,27.406382926690053
1,20,23,3,1,83.51914528178715
1,22,23,3,5,76.2777636863256
3,17,1,7,2,93.65624608519177
3,18,16,2,2,100.0
1,21,15,5,1,100.0
3,10,17,7,1,100.0
1,10,12,6,1,92.77157645090396
1,16,10,4,4,97.10572120209432
3,17,16,6,5,100.0
1,19,10,5,2,100.0
2,13,2,5,5,76.87246639039702
3,24,15,3,2,87.50456161670712
2,17,3,6,1,89.11958946251262
1,12,16,6,2,100.0
1,1,9,7,4,52.92430028757861
2,3,2,1,3,31.239568271022165
1,21,16,2,2,89.60017042321296
1,23,23,1,2,59.858753781983495
2,16,22,7,2,100.0
2,17,21,3,4,100.0
3,16,13,3,2,100.0
3,24,23,2,4,75.74660865741912
1,12,7,1,2,66.80770947446888
3,20,22,1,3,94.21619487894336
2,9,16,2,1,86.25947389286803
2,21,14,3,3,99.76029741071238
1,18,23,3,1,87.08726644516258
3,16,15,6,2,100.0
1,15,24,5,3,72.21438647056765
3,13,8,2,3,88.88054290666503
1,11,24,3,3,63.29192488395062
2,4,5,5,4,44.21904210494315
2,3,6,1,4,39.7240784065672
1,8,24,3,1,53.26599175281094
2,20,3,6,5,88.68736101887824
2,8,10,6,5,86.09664513283862
1,22,17,3,1,94.67826929305077
3,20,14,6,3,100.0
2,18,4,2,4,74.72536328215376
1,2,2,5,4,36.33949652806127
2,2,22,3,1,53.087208274566656
2,18,3,2,4,74.58503225590516
3,21,3,3,5,76.12979264443224
2,17,23,7,5,100.0
3,7,8,7,4,83.7698901013548
3,13,6,6,5,97.73013925714463
3,24,9,2,1,79.48504694751722
3,18,15,2,2,100.0
1,10,3,4,2,60.25818774396357
1,14,5,4,4,73.48770660409572
2,16,10,4,1,100.0
2,12,16,2,2,97.38114741992229
2,10,11,5,4,93.38315009714788
1,10,18,3,4,86.5620617116035
2,8,9,5,5,74.44452924494273
3,22,19,3,5,100.0
3,14,24,7,2,100.0
1,14,20,5,2,100.0
2,5,14,6,1,87.02784029187013
2,6,15,1,3,73.82268651688857
2,15,21,1,1,93.41819623401351
1,8,17,6,3,92.09273901547996
2,8,19,4,4,89.43228119257753
3,11,15,6,3,100.0
3,23,21,2,5,89.6520813647238
1,1,21,6,3,61.765926856437034
2,3,22,5,2,64.0605726746317
1,6,5,2,4,35.92511858224004
2,8,19,7,4,93.06669221767565
2,11,13,1,5,80.95389611880313
1,17,12,6,3,100.0
2,8,19,7,3,100.0
2,14,8,2,1,87.08391111115736
1,12,7,7,5,89.41160181757068
1,3,5,7,5,52.46995867941374
2,1,16,2,2,64.81331700360485
1,14,10,2,1,86.6211324076897
3,6,8,1,4,59.22454355884634
1,6,24,4,3,51.96362352067779
2,16,19,7,5,100.0
1,10,14,2,5,85.64211357222554
3,12,3,2,4,70.5056779327168
3,7,20,6,5,91.52678564564003
2,3,23,7,4,68.09368121019081
3,1,14,5,1,72.07995939944622
1,19,20,7,4,100.0
3,2,17,5,5,78.08941482682309
3,21,14,3,4,100.0
3,24,23,3,5,72.24098085853464
3,24,12,4,1,91.36493963762258
3,7,10,5,2,80.63503808491795
1,1,7,5,4,43.27843353100933
3,8,14,2,4,84.85745832074153
2,1,22,1,3,40.77584488906426
3,9,14,2,1,89.03954259337758
1,20,18,7,3,100.0
1,15,19,1,2,97.41105174238002
3,21,11,7,2,100.0
1,13,23,4,3,84.25214144714232
3,19,3,4,3,85.33364993215932
2,2,7,5,3,48.921978772513626
3,1,21,1,1,52.313355478538384
3,5,7,4,1,63.954332139700064
3,24,4,2,4,60.18858050157518
1,12,16,3,4,100.0
1,23,2,4,5,57.75379979818099
3,23,6,7,2,88.79713499760913
2,24,6,3,2,66.7629152642361
3,7,20,5,5,87.23731511836898
1,24,23,6,5,72.33319279872283
3,5,11,7,3,89.44125926585237
2,23,24,6,5,77.85250652608175
3,14,8,7,5,100.0
1,12,13,2,2,87.50111099333783
3,17,7,2,4,92.97911805879497
2,6,23,1,2,52.19117420814536
3,4,21,2,4,58.08201855373948
2,3,7,6,4,56.075661917260454
1,19,11,6,4,100.0
2,10,22,5,1,87.7213241862661
2,23,22,4,1,91.80163017791563
2,10,11,2,5,82.3664327321731
2,8,5,4,3,59.06172765987747
1,10,14,2,1,81.4545227036817
2,4,12,3,3,65.67725942571315
1,24,23,5,1,71.8300509820613
1,8,9,4,1,73.42878555266978
3,11,7,7,4,99.9419926461271
1,7,14,1,2,68.22238231895969
1,19,1,3,4,63.972658541490745
1,12,3,6,3,68.45982212619809
1,13,20,7,3,100.0
3,18,5,4,2,93.98613874529167
1,7,14,1,4,69.82749452436975
3,11,4,3,2,72.11584091690725
3,23,4,7,3,84.8676888326094
1,10,1,4,3,55.51384941744513
1,1,20,3,5,59.37541503150209
2,12,11,2,1,88.75284233636285
3,16,23,2,4,90.69646216680746
3,2,11,4,5,66.95402353711073
1,19,23,4,4,87.53101572976402
1,2,3,4,1,31.014562379355485
3,3,21,1,2,60.21520440898771
1,15,16,3,4,100.0
3,1,18,7,2,82.25891375507992
1,2,1,6,4,34.89081843232592
1,2,14,7,4,73.6488660795332
1,20,12,6,1,100.0
1,14,22,6,1,100.0
3,6,3,2,5,48.83324249871237
1,2,5,3,3,29.680101893958593
1,4,3,5,2,41.14117295178866
2,4,22,3,3,58.437910566424556
3,6,14,7,5,94.61343845733239
2,18,5,7,1,100.0
3,12,9,2,3,90.05756389244934
1,21,1,1,1,50.45837942191886
3,20,16,7,2,100.0
2,4,13,4,4,72.10367840446891
2,12,1,6,4,69.75023921677983
2,5,4,5,1,51.08372688296217
2,8,9,4,5,81.27019265901613
1,18,23,3,5,90.84935218001549
2,14,23,3,4,84.96246467249355
1,17,8,6,1,99.64081816614294
1,6,23,2,4,51.78268009021358
3,10,21,5,4,100.0
2,18,7,2,4,88.97728700899637
2,1,20,1,3,55.34488251671028
1,23,10,7,1,95.27364106003974
1,14,5,3,1,74.44662034829238
2,11,18,3,1,94.32982631646244
3,16,10,4,2,100.0
3,2,2,3,4,37.292128413121056
1,9,21,3,2,85.89543227281476
1,19,16,2,1,100.0
2,11,22,4,1,89.85344332815635
3,18,23,5,2,100.0
1,9,9,3,1,68.81463954092911
1,18,13,6,2,100.0
2,10,24,4,4,71.95314511930029
2,6,9,1,2,63.031150780670785
2,8,24,2,2,58.33354289504322
3,21,23,2,1,89.38046582885173
3,11,15,3,3,100.0
2,7,17,2,2,78.16746475955911
1,4,7,4,1,47.28655925969137
1,4,22,5,5,59.13982645918276
1,18,18,4,5,100.0
1,6,9,4,5,64.99177998400086
2,24,13,2,4,83.81360670152068
1,19,9,7,4,100.0
2,12,20,6,2,100.0
2,3,5,5,2,48.6351224910528
2,2,24,6,3,51.341296970153074
3,17,3,3,2,85.25218182434408
3,8,11,7,5,100.0
1,9,17,6,4,100.0
2,13,24,2,3,68.04507253297312
3,20,9,7,3,100.0
2,7,8,1,1,62.37836975860513
3,14,5,6,1,93.93051668962867
3,24,23,4,2,75.81989383770964
2,3,14,6,2,80.0683059096962
3,4,16,3,5,77.60788941414557
3,1,7,3,4,50.895409246455344
1,18,10,3,2,95.2423406056204
2,8,21,5,2,87.74767458164338
3,17,16,5,2,100.0
1,12,10,7,3,99.06076618430436
2,2,3,5,5,41.23945680793638
1,12,9,2,2,73.53343864222248
1,18,15,1,3,100.0
3,16,17,6,5,100.0
2,17,9,7,4,100.0
1,4,4,5,2,46.60265641653063
2,14,20,7,3,100.0
3,7,2,6,4,59.81231245685841
3,2,7,6,3,64.8513461900355
1,14,4,4,3,79.79743711784553
1,1,8,5,5,50.07806135509782
1,18,9,6,3,100.0
2,21,13,2,1,100.0
3,17,22,7,1,100.0
2,8,14,7,4,98.69846520251278
1,18,2,6,1,81.01737843246848
3,1,17,4,1,75.1243028009292
3,14,17,4,2,100.0
1,6,12,5,1,77.88858489650386
3,22,14,3,5,100.0
1,16,2,1,4,66.41588458308985
2,11,8,1,3,72.86495827895075
1,11,1,3,1,60.41556392235443
1,12,22,6,4,91.39649913948087
3,7,7,7,5,82.88436563486698
1,6,3,3,4,33.73729522700179
3,5,7,3,5,48.9551936926204
3,22,10,5,5,98.16751532195778
3,17,9,2,5,99.28194535752674
1,15,2,6,2,77.86480520384981
2,14,10,4,1,96.6192077656675
2,24,20,6,5,93.16838310671149
1,4,10,2,4,48.13165593860921
3,10,16,3,1,97.13119894057974
3,9,20,6,2,100.0
1,5,7,3,4,44.98113507688196
2,20,6,7,5,95.54943113297047
1,11,20,6,5,100.0
3,5,16,7,3,96.13525147274387
1,18,1,2,5,66.35547149473835
3,13,18,5,3,100.0
2,21,22,3,5,86.80366171132509
3,24,13,3,5,91.98061543083188
1,12,4,6,5,74.51598466833683
3,16,13,6,3,100.0
1,18,1,6,4,82.31937816273322
1,23,10,5,5,77.62453696458567
3,12,13,5,3,100.0
3,18,6,5,1,99.1751320282184
1,24,12,6,3,87.97285699460447
3,6,8,1,2,57.68055774502763
1,24,15,1,2,75.33909821254403
1,15,10,1,1,87.26791838692591
2,10,19,6,3,100.0
2,7,15,3,5,82.31783732214464
3,8,2,4,4,63.10565559560261
3,13,13,1,1,98.24883042343755
1,17,23,4,5,88.76387896570242
2,5,7,2,1,47.480930039920985
1,16,24,5,5,87.31380412953614
3,23,4,5,5,80.37942755949163
1,21,7,2,1,72.90549383280982
1,16,4,2,3,73.0314101101085
1,9,12,4,2,78.43701331370269
1,15,10,4,3,98.92171227133038
3,9,16,7,4,100.0
2,4,4,1,3,34.07980258034381
2,9,17,1,1,89.87239138774571
1,21,19,3,3,100.0
3,8,7,4,3,74.23011636899119
1,11,22,4,4,83.35699012804436
2,12,12,1,5,83.92583312760642
3,4,21,2,4,64.07247569632106
1,10,16,5,1,98.54737151450097
1,13,10,5,2,95.84373407620582
3,10,4,2,5,63.13427369105607
2,16,24,7,1,98.7627943036685
2,21,16,1,1,100.0
3,3,9,6,2,65.47684183716717
1,2,24,3,5,34.89062553637389
2,13,8,1,3,80.16888499686605
2,24,2,1,1,50.458652171513165
2,17,5,4,3,91.4421074152452
1,19,11,5,1,100.0
1,7,6,7,2,63.89593884553636
3,6,3,5,2,62.040197724345035
2,2,23,4,4,51.42607212303055
2,4,20,5,3,79.59396822224437
2,4,7,6,1,61.134783398472216
1,4,13,3,3,66.1697116551358
1,9,18,4,5,78.66063459684823
1,10,4,3,5,56.29233811386754
2,1,21,6,4,65.62848060446373
2,1,15,1,4,55.6816973404774
2,5,14,7,4,91.45811838666076
1,6,2,4,5,35.58375953751119
1,16,8,4,1,92.88997867477747
2,16,7,3,1,84.74400040254915
3,17,5,2,3,85.39129036747889
2,14,5,1,4,73.83575541092824
2,3,10,7,3,73.52947943218095
2,14,4,1,4,71.37800735518528
2,6,18,1,5,69.62514968981883
3,3,16,6,4,76.35739113472793
3,1,3,3,3,38.14204331436448
1,19,9,4,3,98.76284031474137
1,18,11,7,5,100.0
2,23,18,6,5,100.0
1,19,4,4,1,79.04960873749337
2,3,13,7,1,75.25067107281977
1,5,12,3,2,59.09195574624903
3,16,18,6,2,100.0
2,16,11,3,5,100.0
3,2,9,3,3,60.678792905329026
2,24,12,4,1,86.86732084158052
1,24,11,3,4,77.11862156739045
1,3,6,4,4,42.70618296811992
2,2,8,6,1,57.55148923487662
2,17,5,4,2,92.31460457103144
1,8,11,7,5,78.71945383049442
2,5,19,7,4,83.67471014446885
1,11,21,5,1,86.85320787297941
1,7,7,3,4,57.25787081570425
1,9,15,6,3,93.70163545136799
2,23,24,6,5,84.08098699628638
1,7,11,3,1,68.75345131285026
3,9,23,5,4,85.85722164812053
3,18,18,5,1,100.0
3,12,4,4,5,76.25370606623648
2,10,12,5,1,92.95990856579313
3,1,9,4,4,52.92709950076182
3,7,10,5,1,89.10654810863576
1,8,11,4,4,76.20852926287426
1,20,13,2,5,92.37784020083048
3,10,19,3,3,99.29343598752753
3,9,23,1,1,67.27695603902555
1,18,24,2,2,81.58342653480815
3,2,5,5,2,52.72467916396628
1,4,8,1,1,41.09715585530647
1,21,6,2,1,74.5731087350977
1,21,13,4,2,99.39503169620059
2,10,19,5,1,97.6363607948719
1,6,7,7,3,66.47996605723687
3,17,19,6,1,100.0
1,19,19,1,3,93.18190249304993
1,16,21,3,5,95.32521949218582
3,12,22,4,1,99.05219893410683
3,5,14,4,4,82.41030159304582
2,5,20,2,3,65.90726046452544
2,10,19,2,4,87.35066701071297
1,19,15,2,4,100.0
2,8,14,2,3,88.48999752907449
3,10,22,3,3,86.93010287390749
1,4,24,6,4,48.53561417205788
3,24,18,1,3,81.88777730190868
1,16,23,2,4,75.97212809622299
1,3,15,3,3,57.91761866475278
2,2,22,5,2,64.1821663933234
1,16,17,5,1,100.0
2,23,11,5,4,92.64921250742061
2,10,19,5,5,97.33798318135108
3,8,23,4,4,73.81499803829462
1,16,23,2,5,85.22372899896833
1,3,11,7,2,68.57528642988773
1,19,17,1,4,96.31499106678764
2,15,13,3,5,100.0
3,24,20,2,3,88.89286556372831
1,10,2,1,5,43.022467429902576
2,23,4,4,2,69.1648007573344
1,12,5,4,4,75.70338068691562
1,11,8,2,1,75.89416311407915
3,9,24,7,1,84.24183362973518
2,5,20,1,5,62.13220817529863
2,12,20,3,4,97.02947135977624
2,21,21,5,5,97.28972268332801
1,2,11,5,1,53.169042930888175
1,17,12,1,3,96.37586570398155
3,6,17,7,2,97.46910096692913
1,16,9,2,4,86.36697096638875
1,1,6,2,3,28.024648752667282
1,18,6,5,4,87.48287369759929
2,6,6,1,2,51.342999586104476
3,15,19,1,4,100.0
2,12,15,4,2,100.0
2,2,22,7,3,63.953001840975766
2,19,24,6,1,93.85612336491315
2,6,16,6,3,91.55443366510093
1,17,23,2,2,86.13205333328621
3,14,13,7,4,100.0
3,6,10,6,1,84.4735177070078
1,20,7,6,2,92.02406132782798
2,6,12,4,2,75.28483365832291
1,11,3,5,2,61.22106304920643
1,10,22,7,1,91.78911344762379
3,22,19,1,2,95.2113686838896
2,13,5,2,3,74.68182192948748
3,4,17,7,3,94.43739651529779
2,1,18,2,3,46.79231183944914
1,17,16,1,4,97.81683856993023
1,12,15,4,1,94.94949371089396
1,7,21,4,1,74.13853561996191
1,21,6,5,3,85.29531926009733
2,8,16,1,3,79.11552514365304
2,23,2,6,5,65.88758637095881
2,15,2,7,1,89.79909206562849
2,21,18,1,2,100.0
1,14,24,1,5,62.390404839780736
3,5,7,2,5,58.933339049292385
3,15,8,2,5,92.63127933903606
1,7,21,7,3,84.98189726829715
2,24,10,1,5,67.06236824962764
2,19,6,4,3,87.46812842806713
2,4,11,3,4,58.729738690359376
3,7,13,2,5,74.07792518720115
2,20,17,1,5,100.0
2,11,14,2,2,91.7130964591239
3,9,22,3,1,81.63676819351892
1,4,18,3,4,69.56464189633782
1,18,17,6,4,100.0
2,24,14,1,5,80.86212057929401
3,10,19,3,2,96.89452145152175
2,18,6,2,5,84.94860547540297
3,18,7,4,4,96.32752324204809
2,20,24,2,2,75.526825108701
2,15,19,2,5,95.61072458729856
1,20,1,4,1,62.78351338275079
2,9,10,6,3,93.36310189660682
3,16,16,2,4,100.0
2,22,4,5,2,83.25595875939538
2,23,7,6,4,85.30053798442238
3,21,10,2,2,92.85137254216357
2,16,11,5,1,100.0
3,5,18,1,4,73.7823954509423
2,1,8,7,2,63.864331079954326
1,8,14,6,1,87.34199590170073
3,7,21,1,1,69.16879826463675
1,13,3,6,5,75.3310880334482
1,7,23,5,2,59.460593946251194
3,20,15,4,1,100.0
2,4,8,6,2,63.882615152576484
3,3,21,3,5,60.15345315028748
1,5,8,7,5,65.16476059843988
1,12,5,3,3,69.40213276037129
3,1,13,7,4,81.3404192088686
2,9,17,2,3,87.041723669997
1,10,23,7,5,80.60345203988429
2,6,7,5,4,67.04930537498441
1,12,7,2,2,74.37184548722846
3,12,19,4,1,100.0
2,8,24,1,3,54.495984858245606
1,17,2,1,4,63.91550173124754
2,17,20,1,5,94.69296682684273
3,5,2,7,1,64.20377133525741
2,21,18,5,3,100.0
3,16,18,4,3,100.0
3,17,20,3,5,100.0
2,6,16,2,1,72.62245128053867
3,20,23,5,4,97.54001808437977
3,9,9,7,2,95.16678554927195
1,3,4,2,4,29.162035871307495
3,6,24,1,1,51.52784704119734
3,21,6,5,1,96.90830922423163
3,6,16,3,2,84.26510777238306
2,15,17,3,4,100.0
2,8,13,4,5,85.17824760925777
2,18,14,1,2,100.0
3,6,16,7,2,95.5429021334768
1,8,10,3,3,71.27854268266003
1,5,3,5,1,47.524792002735204
2,9,3,2,4,53.75035927337214
2,4,9,7,2,74.04687606435716
3,16,18,3,2,100.0
3,20,13,7,2,100.0
1,4,3,4,1,40.252211040221816
1,3,2,2,5,24.319869772712604
1,14,10,2,5,88.46963082021512
3,14,8,2,2,91.50654641539688
2,9,2,5,2,69.98409598358761
2,14,23,7,4,100.0
1,6,4,1,2,35.571625203713985
1,4,11,5,4,64.69849576905756
1,8,2,2,1,39.52361400484784
2,21,11,1,5,85.7769572573304
3,21,3,4,1,87.95734038532498
1,22,1,4,3,62.04452679247987
2,6,19,6,3,87.78967026288655
3,11,12,3,1,99.65662587753967
2,22,20,5,4,100.0
3,19,13,7,5,100.0
1,21,23,1,3,72.18286554443452
2,16,8,3,2,96.53920463552481
1,8,19,1,2,72.62963796658816
2,11,7,2,4,66.44956525262302
2,9,6,1,5,58.28135531121357
3,23,18,5,1,100.0
2,17,8,2,2,93.92188910245324
2,19,7,7,4,100.0
2,18,1,3,3,74.43300342070806
3,7,8,1,5,65.69246353989043
3,10,4,2,1,64.28926607404486
1,12,10,3,2,85.18641345835029
1,6,5,7,2,57.84039538324897
3,8,20,6,2,100.0
3,19,22,3,5,100.0
1,13,14,6,2,100.0
3,5,12,4,5,74.44585979239032
1,18,8,4,5,93.93829885950223
3,22,9,7,1,100.0
2,8,4,5,3,66.77427205595544
3,24,8,3,4,76.47772964995231
3,16,21,7,5,100.0
2,22,10,5,5,92.2616910316837
2,14,19,4,4,100.0
1,4,2,3,4,29.960081020727436
3,10,11,1,2,90.26988266141886
3,24,1,6,4,65.20176702095183
2,22,21,7,1,100.0
1,23,17,3,2,95.62230116643737
3,23,22,1,1,78.62431323689518
2,20,20,6,2,100.0
1,3,6,7,3,58.348104906946595
3,13,18,7,5,100.0
2,24,2,3,5,56.98283400854558
1,20,24,6,5,86.58731407930182
1,20,3,2,4,72.46045185136347
1,11,6,7,4,82.40838754175186
1,13,24,6,4,89.81134074903142
3,16,21,7,3,100.0
2,20,13,4,4,100.0
2,1,18,3,1,67.98447908785057
1,3,14,4,2,56.51497758318838
2,3,8,3,2,56.20766812692468
3,8,5,4,3,63.37811654259809
3,1,8,4,3,57.89041446384636
2,14,1,6,2,82.36560525078906
3,12,8,2,2,93.63437674936917
1,20,22,4,5,91.54386994591783
2,21,16,6,4,100.0
1,17,22,3,3,93.50297365428295
2,17,5,6,1,96.67534939622803
1,13,15,1,4,89.9421692987579
3,16,17,3,1,100.0
3,14,23,7,1,100.0
3,15,15,2,3,100.0
1,15,9,4,5,92.24323821105162
3,6,9,7,1,87.71257745146747
3,13,18,5,3,100.0
3,20,5,4,1,87.13771634050602
1,17,8,4,4,90.82030849793202
3,21,6,4,5,95.19935422764878
2,10,21,6,1,92.6945037026577
2,23,3,2,5,57.644755494805466
2,16,11,7,2,100.0
1,16,3,6,4,83.98890183189526
3,4,20,7,1,91.56515487100081
1,14,14,3,4,98.60271364003763
2,1,12,5,4,68.53476435689403
2,14,8,1,2,89.00230176621979
3,14,10,2,4,97.48937580312689
2,12,22,6,5,100.0
1,9,10,5,3,78.8154456942049
2,17,1,4,1,84.21843436178295
2,4,3,1,5,30.07742157238336
2,2,15,2,3,57.26791580632964
2,21,21,4,4,100.0
1,19,8,3,3,90.93726335577995
2,3,12,2,2,51.2186408512943
2,3,2,5,3,39.12524026198897
1,20,24,2,1,67.54722843621215
1,17,12,5,2,100.0
1,14,2,4,5,69.86425971017681
1,9,21,2,1,68.43133416500396
3,9,4,5,5,71.08291692367739
1,18,1,5,4,71.4269137945778
2,7,22,1,2,60.03092271384014
1,10,8,5,4,78.51359694450039
3,15,22,4,2,100.0
3,14,7,6,2,100.0
3,21,10,2,4,98.98927517871172
2,20,5,5,3,91.85758447630053
3,19,8,4,5,100.0
3,17,5,1,4,80.54028363089495
2,6,23,5,1,69.41453246294076
3,6,6,6,5,75.09563307483924
1,13,15,7,4,100.0
2,20,1,3,4,71.29151541717613
2,24,1,7,4,61.21386392751374
3,18,10,4,4,100.0
3,12,17,6,5,100.0
2,14,24,2,2,78.88450297108277
3,3,2,6,5,47.54440534227366
1,10,24,7,4,74.06476659552636
2,20,9,2,2,87.7712379255359
1,5,18,7,5,83.64941932415084
2,9,10,3,4,76.73783482631151
1,11,14,1,1,79.64102509235242
2,6,21,4,1,73.39113130566378
1,7,10,3,3,70.85583350987557
2,6,21,4,4,68.25862304016061
1,3,8,3,1,49.79313565071329
1,20,13,7,3,100.0
1,19,17,4,1,100.0
1,1,16,7,2,78.06024969375012
1,11,20,3,5,87.07946706417987
1,12,9,6,2,95.5556100224072
3,24,19,3,3,88.85984461922585
1,3,9,1,3,44.60177742252524
1,17,13,2,2,100.0
2,20,8,6,2,100.0
2,6,3,6,3,54.80938371050657
2,15,9,7,3,100.0
1,15,4,2,2,72.81918990992304
1,5,17,1,3,68.00402968404435
2,2,4,2,3,31.739829378058825
2,12,10,2,2,85.94596442452523
1,6,23,6,5,62.362368376963126
3,10,11,5,5,100.0
2,5,3,3,4,42.70469720562276
3,6,22,2,3,64.89386933564842
2,22,1,1,3,54.47870677920951
2,8,18,1,2,75.01581111710311
3,9,16,2,2,88.7025725764999
3,3,6,6,4,62.46671513054498
2,9,5,5,1,68.17039373932538
1,11,24,1,2,61.34023348840224
1,13,19,5,1,100.0
1,8,16,2,3,78.05049064956208
2,15,7,6,1,96.10121454790158
1,24,3,7,1,68.41729913374625
3,16,24,7,1,100.0
3,23,5,3,5,67.26509278805095
3,13,19,7,2,100.0
3,9,22,3,3,82.64348259778126
2,3,6,1,1,35.11161019927497
2,19,7,5,4,95.80929947347627
3,13,8,7,5,98.14013817257614
2,15,14,3,2,100.0
2,8,17,3,1,88.23406001400377
2,4,12,2,1,60.96215048111148
1,14,16,6,2,100.0
3,19,14,6,5,100.0
3,11,2,3,2,69.63648599486588
